wals code	glottocode	name	latitude	longitude	macroarea	genus	family	sample 100	sample 200
tze	tzel1253	Tzeltal	16.8333333333	-92.25	North America	Mayan	Mayan	False	False
saa	saaa1240	Sa'a	-9.61666666667	161.45	Papunesia	Oceanic	Austronesian	False	False
ctm	chit1248	Chitimacha	29.6666666667	-91.0	North America	Chitimacha	Chitimacha	False	False
ilo	ilok1237	Ilocano	16.0	121.0	Papunesia	Northern Luzon	Austronesian	False	False
bbu	bara1361	Barambu	3.5	27.0	Africa	Ubangi	Niger-Congo	False	False
wan	ngur1261	Wangkumara	-27.3333333333	143.0	Australia	Pama-Nyungan	Australian	False	False
prh	pira1253	Pirahã	-7.0	-62.0	South America	Mura	Mura	True	True
kmp	kuni1267	Kunimaipa	-8.0	146.833333333	Papunesia	Goilalan	Trans-New Guinea	False	False
lla	lamu1254	Lamu-Lamu	-14.8333333333	144.5	Australia	Pama-Nyungan	Australian	False	False
paa	paaa1242	Pa'a	11.0	9.25	Africa	West Chadic	Afro-Asiatic	False	False
amk	amar1274	Amarakaeri	-12.5	-70.5	South America	Harakmbet	Harakmbet	False	False
lov	lave1248	Loven	15.0	106.333333333	Eurasia	Bahnaric	Austro-Asiatic	False	False
yrm	yuru1243	Yurimangí	3.83333333333	-77.0	South America	Yurimangí	Yurimangí	False	False
yuc	yuch1247	Yuchi	35.75	-86.75	North America	Yuchi	Yuchi	False	True
mwo	motl1237	Mwotlap	-13.5833333333	167.583333333	Papunesia	Oceanic	Austronesian	False	False
dsh	dani1285	Danish	56.0	10.0	Eurasia	Germanic	Indo-European	False	False
dab	maza1304	Daba	10.1666666667	13.75	Africa	Biu-Mandara	Afro-Asiatic	False	False
otm	mezq1235	Otomí (Mezquital)	20.1666666667	-99.1666666667	North America	Otomian	Oto-Manguean	True	True
osm	quer1236	Otomí (Santiago Mexquititlan)	20.0833333333	-100.083333333	North America	Otomian	Oto-Manguean	False	False
oix	ixte1237	Otomí (Ixtenco)	19.0833333333	-97.9166666667	North America	Otomian	Oto-Manguean	False	False
ben	beng1280	Bengali	24.0	90.0	Eurasia	Indic	Indo-European	False	False
bec	chit1275	Bengali (Chittagong)	22.3333333333	91.8333333333	Eurasia	Indic	Indo-European	False	False
shp	nort1527	Sahaptin (Northern)	46.5	-120.0	North America	Sahaptian	Penutian	False	False
smt	umat1237	Sahaptin (Umatilla)	45.6666666667	-118.5	North America	Sahaptian	Penutian	False	False
chy	chay1248	Chayahuita	-5.5	-77.0	South America	Cahuapanan	Cahuapanan	False	False
kku	kork1243	Korku	22.5	78.5	Eurasia	Munda	Austro-Asiatic	False	False
hyo	asho1236	Hyow	22.0833333333	92.4166666667	Eurasia	Kuki-Chin	Sino-Tibetan	False	False
ho	hooo1248	Ho	22.0	86.0	Eurasia	Munda	Austro-Asiatic	False	False
tbs	taba1259	Tabassaran	41.8333333333	47.9166666667	Eurasia	Lezgic	Nakh-Daghestanian	False	False
arw	nucl1235	Armenian (Western)	38.5	43.5	Eurasia	Armenian	Indo-European	False	False
arm	nucl1235	Armenian (Eastern)	40.0	45.0	Eurasia	Armenian	Indo-European	False	True
arz	nucl1235	Armenian (Iranian)	32.6666666667	51.6666666667	Eurasia	Armenian	Indo-European	False	False
agc	cent2084	Agta (Central)	17.9666666667	121.833333333	Papunesia	Greater Central Philippine	Austronesian	False	False
mig	miga1249	Migama	12.1666666667	19.8333333333	Africa	East Chadic	Afro-Asiatic	False	False
ggu	gure1255	Gureng Gureng	-25.25	151.0	Australia	Pama-Nyungan	Australian	False	False
mlu	male1289	Maleu	-5.71666666667	148.416666667	Papunesia	Oceanic	Austronesian	False	False
gay	gayo1244	Gayo	4.5	97.5	Papunesia	Northwest Sumatra-Barrier Islands	Austronesian	False	False
ctc	cuic1234	Cuicatec	17.8333333333	-96.8333333333	North America	Mixtecan	Oto-Manguean	False	False
nab	naba1256	Nabak	-6.41666666667	147.0	Papunesia	Finisterre-Huon	Trans-New Guinea	False	False
hia	cari1279	Hianacoto	0.833333333333	-71.0	South America	Cariban	Cariban	False	False
skm	suku1261	Sukuma	-2.83333333333	32.0	Africa	Bantoid	Niger-Congo	False	False
fin	finn1318	Finnish	62.0	25.0	Eurasia	Finnic	Uralic	True	True
ung	ngar1284	Ungarinjin	-16.3333333333	126.0	Australia	Wororan	Australian	False	True
sup	supy1237	Supyire	11.5	-5.58333333333	Africa	Gur	Niger-Congo	True	True
nau	naur1243	Nauruan	-0.5	166.916666667	Papunesia	Oceanic	Austronesian	False	False
ykt	yaku1245	Yakut	62.0	130.0	Eurasia	Turkic	Altaic	False	False
lnd	band1344	Linda	6.5	20.75	Africa	Ubangi	Niger-Congo	False	False
sao	saho1246	Saho	14.75	39.75	Africa	Eastern Cushitic	Afro-Asiatic	False	False
mmb	mbul1263	Mangap-Mbula	-5.66666666667	148.083333333	Papunesia	Oceanic	Austronesian	False	False
nup	nupe1254	Nupe	9.16666666667	5.41666666667	Africa	Nupoid	Niger-Congo	False	False
klh	kala1372	Kalasha	35.0	72.0	Eurasia	Indic	Indo-European	False	False
skn	guah1255	Sikuani	6.25	-71.5	South America	Guahiban	Guahiban	False	False
ghb	guah1255	Guahibo	5.0	-69.0	South America	Guahiban	Guahiban	False	False
woi	kama1365	Woisika	-8.25	124.833333333	Papunesia	Greater Alor	Timor-Alor-Pantar	False	False
lat	latv1249	Latvian	57.0	24.0	Eurasia	Baltic	Indo-European	False	True
dok	ngom1268	Doko	3.0	23.0833333333	Africa	Bantoid	Niger-Congo	False	False
nbe	ngom1268	Ngombe	3.0	23.0	Africa	Bantoid	Niger-Congo	False	False
mbe	mber1257	Mbere	-0.5	14.0	Africa	Bantoid	Niger-Congo	False	False
cyv	cayu1262	Cayuvava	-13.5	-65.5	South America	Cayuvava	Cayuvava	False	True
nsy	assy1241	Neo-Aramaic (Assyrian)	36.0	41.0	Eurasia	Semitic	Afro-Asiatic	False	False
der	dera1245	Dla (Proper)	-3.58333333333	141.0	Papunesia	Senagi	Senagi	False	False
pnn	pang1290	Pangasinan	15.9166666667	120.333333333	Papunesia	Northern Luzon	Austronesian	False	False
bbw	gunw1252	Bininj Gun-Wok	-12.5	133.75	Australia	Gunwinygic	Australian	False	False
zso	zulu1248	Zulu (Southern)	-31.0	30.0	Africa	Bantoid	Niger-Congo	False	False
zno	zulu1248	Zulu (Northern)	-28.0	31.0	Africa	Bantoid	Niger-Congo	False	False
zul	zulu1248	Zulu	-30.0	30.0	Africa	Bantoid	Niger-Congo	True	True
sio	sioo1240	Sio	-5.95	147.333333333	Papunesia	Oceanic	Austronesian	False	False
mou	moru1253	Moru	4.75	29.75	Africa	Moru-Ma'di	Nilo-Saharan	False	False
myr	mats1244	Matsés	-5.41666666667	-73.25	South America	Panoan	Panoan	False	False
msn	mais1250	Maisin	-9.5	149.166666667	Papunesia	Oceanic	Austronesian	False	False
cve	chua1250	Chuave	-6.11666666667	145.116666667	Papunesia	Chimbu	Trans-New Guinea	False	False
dob	dobe1238	Dobel	-6.25	134.666666667	Papunesia	Central Malayo-Polynesian	Austronesian	False	False
zen	zena1248	Zenaga	17.3333333333	-16.0	Africa	Berber	Afro-Asiatic	False	False
bti	beto1236	Betoi	7.16666666667	-71.25	South America	Betoi	Betoi	False	False
kgr	kagu1239	Kagulu	-6.33333333333	37.0	Africa	Bantoid	Niger-Congo	False	False
kya	kuku1273	Kuku-Yalanji	-16.0	145.0	Australia	Pama-Nyungan	Australian	False	False
bhn	bahi1254	Bahinemo	-4.58333333333	142.833333333	Papunesia	Sepik Hill	Sepik	False	False
cog	cogu1240	Cogui	11.0	-73.8333333333	South America	Aruak	Chibchan	False	False
mpu	mpur1239	Mpur	-0.75	133.25	Papunesia	Kebar	West Papuan	False	False
hmb	huam1247	Huambisa	-4.0	-78.0	South America	Jivaroan	Jivaroan	False	False
qch	kich1262	Quiché	15.0	-91.4166666667	North America	Mayan	Mayan	False	False
dou	dout1240	Doutai	-3.33333333333	138.166666667	Papunesia	Lakes Plain	Lakes Plain	False	False
cem	cemu1238	Cèmuhî	-20.8333333333	165.166666667	Papunesia	Oceanic	Austronesian	False	False
tld	tala1285	Talaud	4.25	126.75	Papunesia	Sangiric	Austronesian	False	False
hlp	hava1248	Hualapai	35.5	-113.75	North America	Yuman	Hokan	False	False
dms	dima1251	Dimasa	25.5	93.0	Eurasia	Bodo-Garo	Sino-Tibetan	False	False
yah	yama1264	Yahgan	-55.0	-68.0	South America	Yámana	Yámana	False	False
aly	alya1239	Alyawarra	-22.5	135.0	Australia	Pama-Nyungan	Australian	False	False
mny	marg1253	Margany	-27.0	144.5	Australia	Pama-Nyungan	Australian	False	False
awn	awng1244	Awngi	10.8333333333	36.6666666667	Africa	Central Cushitic	Afro-Asiatic	False	False
jeb	jebe1250	Jebero	-5.41666666667	-76.5	South America	Cahuapanan	Cahuapanan	False	False
neh	neha1247	Nehan	-4.5	154.2	Papunesia	Oceanic	Austronesian	False	False
ntu	nene1249	Nenets (Tundra)	70.0	76.0	Eurasia	Samoyedic	Uralic	False	False
nen	nene1249	Nenets	69.0	72.0	Eurasia	Samoyedic	Uralic	False	True
crg	east2555	Chiriguano	-23.6666666667	-64.3333333333	South America	Tupi-Guaraní	Tupian	False	False
gua	para1311	Guaraní	-26.0	-56.0	South America	Tupi-Guaraní	Tupian	True	True
bna	jama1261	Banawá	-7.0	-65.0	South America	Arauan	Arauan	False	False
amx	anam1248	Anamuxra	-4.66666666667	145.0	Papunesia	Madang	Trans-New Guinea	False	False
hil	hili1240	Hiligaynon	10.25	123.0	Papunesia	Greater Central Philippine	Austronesian	False	False
ass	assa1263	Assamese	26.0	93.0	Eurasia	Indic	Indo-European	False	False
tbl	tabl1243	Tabla	-2.45	140.416666667	Papunesia	Sentani	Sentani	False	False
mba	mbaa1245	Mba	1.0	25.0	Africa	Ubangi	Niger-Congo	False	False
ogb	ogbi1239	Ogbia	4.66666666667	6.25	Africa	Cross River	Niger-Congo	False	False
alw	alaw1244	Alawa	-15.1666666667	134.25	Australia	Maran	Australian	False	False
nif	niua1240	Niuafo'ou	-15.5666666667	-175.616666667	Papunesia	Oceanic	Austronesian	False	False
ura	urav1235	Ura	-18.6666666667	169.083333333	Papunesia	Oceanic	Austronesian	False	False
mss	sout2985	Miwok (Southern Sierra)	37.5	-120.0	North America	Miwok	Penutian	False	True
tbu	tebu1238	Tubu	16.0	15.0	Africa	Western Saharan	Nilo-Saharan	False	False
tgl	tsha1245	Tshangla	27.8333333333	92.1666666667	Eurasia	Bodic	Sino-Tibetan	False	False
efi	efik1245	Efik	4.91666666667	8.5	Africa	Cross River	Niger-Congo	False	False
sba	sali1298	Sáliba (in Colombia)	6.0	-70.0	South America	Sáliba	Sáliban	False	False
luo	luok1236	Luo	-0.5	34.75	Africa	Nilotic	Nilo-Saharan	False	False
awp	awac1239	Awa Pit	1.5	-78.25	South America	Barbacoan	Barbacoan	False	True
pec	pech1241	Pech	15.0	-85.5	North America	Paya	Chibchan	False	False
nyr	nyan1301	Nyangumarda	-20.0	121.0	Australia	Pama-Nyungan	Australian	False	False
dig	diga1241	Digaro	28.4166666667	96.0	Eurasia	Digaroan	Sino-Tibetan	False	False
bni	bini1246	Bini	6.41666666667	5.83333333333	Africa	Edoid	Niger-Congo	False	False
jeh	jehh1245	Jeh	15.1666666667	107.833333333	Eurasia	Bahnaric	Austro-Asiatic	False	False
bhi	bhil1251	Bhili	22.0	73.0	Eurasia	Indic	Indo-European	False	False
cmy	taba1266	Chontal Maya	18.1666666667	-92.5833333333	North America	Mayan	Mayan	False	False
chx	lowl1260	Chontal (Huamelultec Oaxaca)	16.0	-95.75	North America	Tequistlatecan	Tequistlatecan	False	False
cho	high1242	Chontal (Highland)	16.25	-95.75	North America	Tequistlatecan	Tequistlatecan	False	False
ewo	ewon1239	Ewondo	4.0	12.0	Africa	Bantoid	Niger-Congo	False	False
khl	turk1303	Khalaj	35.0	50.0	Eurasia	Turkic	Altaic	False	False
mbl	mbol1247	Mbole	-0.666666666667	24.6666666667	Africa	Bantoid	Niger-Congo	False	False
kij	kitj1240	Kitja	-17.5	127.75	Australia	Djeragan	Australian	False	False
mya	maya1282	Ma'ya	-1.25	130.916666667	Papunesia	South Halmahera - West New Guinea	Austronesian	False	False
bao	bona1250	Bao'an	35.75	102.833333333	Eurasia	Mongolic	Altaic	False	False
guu	gugu1255	Guugu Yimidhirr	-15.0	144.833333333	Australia	Pama-Nyungan	Australian	False	False
cua	cuaa1241	Cua	15.25	108.5	Eurasia	Bahnaric	Austro-Asiatic	False	False
gah	alek1238	Gahuku	-6.0	145.416666667	Papunesia	Eastern Highlands	Trans-New Guinea	False	False
wry	wara1290	Waray (in Australia)	-13.1666666667	131.25	Australia	Waray	Australian	False	False
mzn	maza1291	Mazanderani	36.5	52.0	Eurasia	Iranian	Indo-European	False	False
cmx	como1259	Comox	50.1666666667	-125.0	North America	Central Salish	Salishan	False	False
mpo	myen1241	Mpongwe	-1.25	9.5	Africa	Bantoid	Niger-Congo	False	False
hpd	hupd1244	Hup	0.166666666667	-69.25	South America	Nadahup	Nadahup	False	False
ysi	sire1246	Yupik (Sirenik)	64.5	-174.0	Eurasia	Eskimo	Eskimo-Aleut	False	False
goe	goem1240	Goemai	8.66666666667	9.75	Africa	West Chadic	Afro-Asiatic	False	False
sry	sira1267	Siraiya	23.0	120.25	Papunesia	Paiwanic	Austronesian	False	False
tat	tata1257	Tatana'	5.5	115.5	Papunesia	North Borneo	Austronesian	False	False
pno	nort2954	Paiute (Northern)	42.0	-118.0	North America	Numic	Uto-Aztecan	False	False
bre	bret1244	Breton	48.0	-3.0	Eurasia	Celtic	Indo-European	False	False
mbz	mbee1250	Mbe'	6.28333333333	11.0833333333	Africa	Bantoid	Niger-Congo	False	False
amu	yane1238	Amuesha	-10.5	-75.4166666667	South America	Western Arawakan	Arawakan	False	False
fua	adam1253	Fula (Cameroonian)	9.16666666667	13.5	Africa	Northern Atlantic	Niger-Congo	False	False
fma	pula1263	Fula (Mauritanian)	16.5	-13.75	Africa	Northern Atlantic	Niger-Congo	False	False
fbf	west2454	Fula (Burkina Faso)	14.0	0.0	Africa	Northern Atlantic	Niger-Congo	False	False
fgo	adam1253	Fulani (Gombe)	10.25	11.25	Africa	Northern Atlantic	Niger-Congo	False	False
fgu	pula1262	Fula (Guinean)	11.5	-12.5	Africa	Northern Atlantic	Niger-Congo	False	False
fum	maas1239	Fulfulde (Maasina)	15.0	-5.0	Africa	Northern Atlantic	Niger-Congo	False	False
fus	pula1263	Fula (Senegal)	15.0	-14.0	Africa	Northern Atlantic	Niger-Congo	False	False
fni	nige1253	Fula (Nigerian)	8.16666666667	10.5	Africa	Northern Atlantic	Niger-Congo	False	False
nnm	tuva1244	Nanumea	-5.66666666667	176.116666667	Papunesia	Oceanic	Austronesian	False	False
tvl	tuva1244	Tuvaluan	-8.5	179.166666667	Papunesia	Oceanic	Austronesian	False	False
wsk	wask1241	Waskia	-4.5	146.0	Papunesia	Madang	Trans-New Guinea	False	False
mel	cent2101	Melanau	2.5	111.5	Papunesia	North Borneo	Austronesian	False	False
doy	doya1240	Doyayo	8.66666666667	13.0833333333	Africa	Adamawa	Niger-Congo	False	False
ayw	ayiw1239	Ayiwo	-10.3333333333	166.25	Papunesia	Oceanic	Austronesian	False	False
ga	gaaa1244	Gã	5.66666666667	-0.166666666667	Africa	Kwa	Niger-Congo	False	False
irm	iris1253	Irish (Munster)	52.5	-9.0	Eurasia	Celtic	Indo-European	False	False
ird	iris1253	Irish (Donegal)	55.0	-8.0	Eurasia	Celtic	Indo-European	False	False
iri	iris1253	Irish	53.0	-8.0	Eurasia	Celtic	Indo-European	False	True
had	hadz1240	Hadza	-3.75	35.1666666667	Africa	Hadza	Hadza	False	False
jam	djam1255	Jaminjung	-15.0833333333	130.5	Australia	Jaminjungan	Australian	False	False
kod	koda1255	Kodava	12.1666666667	76.8333333333	Eurasia	Southern Dravidian	Dravidian	False	False
arr	east2379	Arrernte	-24.0	134.0	Australia	Pama-Nyungan	Australian	False	False
awe	west2441	Arrernte (Western)	-24.0	132.5	Australia	Pama-Nyungan	Australian	False	False
amp	east2379	Arrernte (Mparntwe)	-24.0	136.0	Australia	Pama-Nyungan	Australian	False	False
gwa	gbag1258	Gwari	9.5	7.0	Africa	Nupoid	Niger-Congo	False	False
tan	nucl1696	Tangale	9.75	11.3333333333	Africa	West Chadic	Afro-Asiatic	False	False
tur	nucl1301	Turkish	39.0	35.0	Eurasia	Turkic	Altaic	True	True
mrn	mara1404	Maranao	7.83333333333	124.25	Papunesia	Greater Central Philippine	Austronesian	False	False
goa	wayu1243	Goajiro	12.0	-72.0	South America	Northern Arawakan	Arawakan	False	False
mcd	mace1250	Macedonian	41.6666666667	21.75	Eurasia	Slavic	Indo-European	False	False
chr	chra1242	Chrau	10.75	107.5	Eurasia	Bahnaric	Austro-Asiatic	False	False
yur	yuro1248	Yurok	41.3333333333	-124.0	North America	Yurok	Algic	False	True
bya	byan1241	Byansi	30.1666666667	80.5	Eurasia	Bodic	Sino-Tibetan	False	False
ma	made1252	Ma	3.5	28.0	Africa	Ubangi	Niger-Congo	False	False
lrd	lard1243	Lardil	-16.5	139.333333333	Australia	Pama-Nyungan	Australian	False	False
kab	kaba1278	Kabardian	43.5	43.5	Eurasia	Northwest Caucasian	Northwest Caucasian	False	False
tak	taki1248	Takia	-4.66666666667	146.0	Papunesia	Oceanic	Austronesian	False	False
kad	katc1249	Kadugli	11.0	29.6666666667	Africa	Kadugli	Kadugli	False	False
cld	chal1275	Chaldean (Modern)	36.0	43.0	Eurasia	Semitic	Afro-Asiatic	False	False
chm	cham1309	Chamalal	42.55	46.05	Eurasia	Avar-Andic-Tsezic	Nakh-Daghestanian	False	False
uru	uruu1244	Uru	-16.75	-69.0	South America	Uru-Chipaya	Uru-Chipaya	False	False
msh	mars1254	Marshallese	7.11666666667	171.05	Papunesia	Oceanic	Austronesian	False	False
lag	lagw1237	Lagwan	11.5	14.8333333333	Africa	Biu-Mandara	Afro-Asiatic	False	False
bnj	band1339	Bandjalang	-28.75	153.0	Australia	Pama-Nyungan	Australian	False	False
gid	band1339	Gidabal	-28.4166666667	152.416666667	Australia	Pama-Nyungan	Australian	False	False
byu	band1339	Bandjalang (Yugumbir)	-27.9166666667	153.0	Australia	Pama-Nyungan	Australian	False	False
bca	band1339	Bandjalang (Casino)	-28.9166666667	153.0	Australia	Pama-Nyungan	Australian	False	False
bwa	band1339	Bandjalang (Waalubal)	-29.0833333333	152.583333333	Australia	Pama-Nyungan	Australian	False	False
nng	nyan1304	Nyanga	-1.25	28.1666666667	Africa	Bantoid	Niger-Congo	False	False
dhm	dhim1246	Dhimal	26.6666666667	87.75	Eurasia	Dhimalic	Sino-Tibetan	False	False
lha	laha1250	Laha	21.5833333333	103.916666667	Eurasia	Kadai	Tai-Kadai	False	False
ser	seri1257	Seri	29.0	-112.0	North America	Seri	Hokan	False	False
igb	nucl1417	Igbo	6.0	7.33333333333	Africa	Igboid	Niger-Congo	False	True
len	lena1238	Lenakel	-19.45	169.25	Papunesia	Oceanic	Austronesian	False	False
kmo	moun1252	Koiali (Mountain)	-9.0	147.5	Papunesia	Koiarian	Trans-New Guinea	False	False
boq	damu1236	Bokar	28.5	94.6666666667	Eurasia	Tani	Sino-Tibetan	False	False
boj	damu1236	Bori	28.3333333333	94.75	Eurasia	Tani	Sino-Tibetan	False	False
gal	damu1236	Galo	28.1666666667	94.6666666667	Eurasia	Tani	Sino-Tibetan	False	False
mil	damu1236	Milang	28.5	95.25	Eurasia	Tani	Sino-Tibetan	False	False
atc	urip1239	Atchin	-16.0	167.333333333	Papunesia	Oceanic	Austronesian	False	False
nit	noot1239	Nitinaht	48.6666666667	-124.75	North America	Southern Wakashan	Wakashan	False	False
kmr	kamo1255	Kamoro	-4.33333333333	136.0	Papunesia	Asmat-Kamoro	Trans-New Guinea	False	False
sug	assa1269	Sungor	13.75	21.5	Africa	Taman	Nilo-Saharan	False	False
mgo	mong1338	Mongo	0.0	21.0	Africa	Bantoid	Niger-Congo	False	False
lui	luis1253	Luiseño	33.3333333333	-117.166666667	North America	Takic	Uto-Aztecan	False	False
mgu	musg1254	Musgu	10.8333333333	14.9166666667	Africa	Biu-Mandara	Afro-Asiatic	False	False
mkl	makl1246	Maklew	-7.66666666667	139.416666667	Papunesia	Bulaka River	Bulaka River	False	False
tbe	tigr1270	Tigré (Beni Amer)	15.5	38.0	Africa	Semitic	Afro-Asiatic	False	False
tgr	tigr1270	Tigré	16.5	38.5	Africa	Semitic	Afro-Asiatic	False	False
err	siee1239	Erromangan	-18.8333333333	169.166666667	Papunesia	Oceanic	Austronesian	False	False
srr	serr1255	Serrano	34.5	-117.0	North America	Takic	Uto-Aztecan	False	False
kni	konn1242	Konni	10.25	-1.58333333333	Africa	Gur	Niger-Congo	False	False
chc	chec1245	Chechen	43.25	45.8333333333	Eurasia	Nakh	Nakh-Daghestanian	False	False
aze	sout2697	Azerbaijani	40.5	48.5	Eurasia	Turkic	Altaic	False	False
azi	sout2697	Azari (Iranian)	37.5	47.0	Eurasia	Turkic	Altaic	False	False
wat	waja1257	Watjarri	-26.0	117.5	Australia	Pama-Nyungan	Australian	False	False
grb	barc1235	Grebo	5.0	-8.0	Africa	Kru	Niger-Congo	True	True
eud	opat1246	Eudeve	29.1666666667	-109.666666667	North America	Cahita	Uto-Aztecan	False	False
kti	yong1280	Kati (in West Papua, Indonesia)	-5.75	140.916666667	Papunesia	Ok	Trans-New Guinea	False	False
pai	paiw1248	Paiwan	22.5	120.833333333	Papunesia	Paiwanic	Austronesian	True	True
mkr	arua1260	Mikarew	-4.41666666667	144.916666667	Papunesia	Mikarew	Lower Sepik-Ramu	False	False
brs	bara1380	Barasano	-0.166666666667	-70.6666666667	South America	Tucanoan	Tucanoan	True	True
bfd	biaf1240	Biafada	11.4166666667	-15.1666666667	Africa	Northern Atlantic	Niger-Congo	False	False
tst	tsat1238	Tsat	18.25	109.5	Eurasia	Malayo-Sumbawan	Austronesian	False	False
muu	mund1330	Mundurukú	-7.0	-58.0	South America	Munduruku	Tupian	False	False
ram	rama1270	Rama	11.75	-83.75	North America	Rama	Chibchan	True	True
wog	woga1249	Wogamusin	-4.25	142.333333333	Papunesia	Upper Sepik	Sepik	False	False
cwe	colu1241	Columbia-Wenatchi	47.5	-120.0	North America	Interior Salish	Salishan	False	False
nhh	huas1257	Nahuatl (Huasteca)	22.0	-99.0	North America	Aztecan	Uto-Aztecan	False	False
nhm	mich1245	Nahuatl (Michoacán)	18.5	-103.0	North America	Aztecan	Uto-Aztecan	False	False
nhn	nort2957	Nahuatl (North Puebla)	20.0	-98.25	North America	Aztecan	Uto-Aztecan	False	False
nht	tete1251	Nahuatl (Tetelcingo)	19.6666666667	-99.0	North America	Aztecan	Uto-Aztecan	False	True
nmp	None	Nahuatl (Milpa Alta)	19.25	-99.1666666667	None	Aztecan	Uto-Aztecan	False	False
nmi	isth1242	Nahuatl (Mecayapan Isthmus)	18.25	-94.8333333333	North America	Aztecan	Uto-Aztecan	False	False
nhu	None	Nahuatl (Huauchinango)	20.1666666667	-98.0833333333	None	Aztecan	Uto-Aztecan	False	False
npa	isth1241	Nahuatl (Pajapan)	18.25	-94.75	North America	Aztecan	Uto-Aztecan	False	False
nsz	high1278	Nahuatl (Sierra de Zacapoaxtla)	19.5833333333	-97.3333333333	North America	Aztecan	Uto-Aztecan	False	False
nhx	guer1241	Nahuatl (Xalitla)	18.0	-99.5	North America	Aztecan	Uto-Aztecan	False	False
nhp	poch1244	Nahuatl (Pochutla)	15.75	-96.5	North America	Aztecan	Uto-Aztecan	False	False
nhc	cent2132	Nahuatl (Central)	19.0	-98.25	North America	Aztecan	Uto-Aztecan	False	False
chl	uppe1439	Chehalis (Upper)	46.5833333333	-123.0	North America	Tsamosan	Salishan	False	False
mme	east2328	Mari (Meadow)	57.0	48.0	Eurasia	Mari	Uralic	False	False
mah	west2392	Mari (Hill)	57.0	58.0	Eurasia	Mari	Uralic	False	False
ing	ingu1240	Ingush	43.1666666667	45.0833333333	Eurasia	Nakh	Nakh-Daghestanian	False	True
man	mann1248	Mano	7.0	-9.0	Africa	Eastern Mande	Niger-Congo	False	False
gus	gusi1247	Gusii	-0.75	34.8333333333	Africa	Bantoid	Niger-Congo	False	False
toj	tojo1241	Tojolabal	16.3333333333	-91.5	North America	Mayan	Mayan	False	False
